area,ïΩê¨ÇQÇRîNìx,ÇQÇSîNìx,ÇQÇTîNìx,ÇQÇUîNìx,ÇQÇVîNìx,ÇQÇWîNìx,ÇQÇXîNìx,ÇRÇOîNìx,óﬂòaå≥îNìx
1 ñkã„èBés,"7,627","7,458","7,625","7,752","7,899","8,037","8,106","8,122","8,298"
2 ïüâ™és,"7,766","7,714","7,975","8,021","8,266","8,334","8,468","8,467","8,485"
3 ëÂñ¥ìcés,"6,890","6,912","7,261","7,379","7,496","7,314","7,526","7,593","7,574"
4 ãvóØïƒés,"5,974","6,052","6,571","6,611","6,593","6,714","6,626","6,684","6,657"
5 íºï˚és,"6,445","6,299","6,422","6,680","6,729","7,106","6,980","7,075","7,107"
6 î—íÀés,"6,049","5,984","6,283","6,313","6,401","6,723","6,761","6,874","6,810"
7 ìcêÏés,"5,573","5,951","5,989","5,974","5,907","5,927","6,091","6,183","6,320"
8 ñˆêÏés,"5,669","5,690","5,989","6,095","6,211","6,235","6,367","6,092","6,230"
9 î™èóés,"5,242","5,210","5,523","5,592","5,806","5,639","5,528","5,721","5,593"
10 í}å„és,"7,329","6,862","6,840","6,762","7,849","7,782","8,121","8,593","8,171"
11 ëÂêÏés,"5,598","5,187","5,516","5,682","5,753","5,689","5,799","6,020","5,857"
12 çsã¥és,"5,474","6,128","6,342","6,048","6,920","6,642","7,878","7,064","6,702"
13 ñLëOés,"8,267","7,326","7,781","8,702","8,323","7,588","7,916","6,445","6,449"
14 íÜä‘és,"6,262","6,329","6,357","6,543","6,196","6,669","6,686","6,622","6,598"
15 è¨åSés,"7,608","6,878","7,030","6,914","7,473","7,079","6,907","6,737","6,692"
16 í}éáñÏés,"15,913","17,016","13,118","11,511","12,942","13,804","15,230","15,387","13,065"
17 ètì˙és,"7,493","7,537","7,559","7,408","7,283","7,318","7,088","7,052","6,961"
18 ëÂñÏèÈés,"6,206","5,918","6,081","6,240","6,403","6,412","6,402","6,389","6,633"
19 è@ëúés,"7,164","7,002","7,073","6,978","6,993","6,955","6,913","6,797","6,691"
20 ëæç…ï{és,"6,784","8,275","6,932","7,067","6,982","7,848","7,553","7,416","7,472"
21 å√âÍés,"8,091","8,100","8,758","8,618","8,682","8,596","8,301","8,376","8,568"
22 ïüí√és,"7,221","6,580","7,137","7,269","6,968","7,196","7,181","6,951","6,891"
23 Ç§Ç´ÇÕés,"5,447","5,274","5,905","6,207","6,186","5,927","5,991","6,092","6,015"
24 ã{é·és,"7,887","7,563","6,305","6,953","7,603","7,229","7,101","8,329","8,291"
25 â√ñÉés,"6,016","6,228","6,301","6,767","6,619","6,408","6,517","6,863","6,967"
26 í©ëqés,"8,914","9,310","9,586","9,748","9,927","9,877","10,031","10,428","10,980"
27 Ç›Ç‚Ç‹és,"4,710","5,159","5,729","5,531","5,696","5,456","5,423","5,613","5,837"
28 éÖìáés,"5,582","5,673","5,743","5,824","6,169","6,656","6,742","6,440","6,356"
29 ìﬂâœêÏés,"4,953","4,716","4,741","4,881","4,954","4,995","4,979","4,931","5,002"
30 âFî¸í¨,"6,869","6,788","6,843","7,308","7,712","7,497","7,605","7,558","7,520"
31 é¬åIí¨,"6,966","7,543","8,130","8,365","8,203","7,999","8,080","8,163","8,044"
32 éuñ∆í¨,"6,193","5,955","5,986","6,328","6,670","6,878","6,815","6,757","6,744"
33 ê{åbí¨,"6,350","6,613","6,578","6,662","6,903","6,985","6,842","7,011","7,063"
34 êVã{í¨,"7,598","8,186","8,181","8,437","8,655","8,523","9,020","8,555","8,376"
35 ãvéRí¨,"6,276","6,245","6,857","7,347","7,736","8,066","8,094","8,032","8,489"
36 îîâÆí¨,"6,941","6,863","7,450","7,628","7,465","7,286","7,652","7,328","7,426"
37 à∞âÆí¨,"7,028","6,721","6,812","7,217","7,173","7,534","7,342","7,552","7,593"
38 êÖä™í¨,"6,443","6,365","6,353","6,305","6,534","6,857","6,527","6,850","6,683"
39 â™ä_í¨,"6,480","6,404","6,432","6,622","7,111","6,798","7,003","7,116","7,330"
40 âìâÍí¨,"6,554","6,369","6,491","6,590","6,928","7,195","7,410","7,296","7,134"
41 è¨í|í¨,"6,694","6,088","7,228","7,084","7,252","7,521","7,332","7,855","8,829"
42 à∆éËí¨,"6,543","5,014","5,745","6,064","9,686","8,902","8,700","9,021","9,105"
43 åjêÏí¨,"6,197","6,772","6,901","6,871","6,967","7,363","7,437","7,589","8,330"
44 í}ëOí¨,"6,405","6,202","6,100","6,434","6,457","6,305","5,827","6,433","6,381"
45 ìåïÙë∫,"4,345","4,455","4,955","5,358","5,374","5,018","6,133","7,924","14,293"
46 ëÂìÅêÙí¨,"5,037","4,761","5,061","5,153","6,073","6,223","6,318","6,087","6,296"
47 ëÂñÿí¨,"6,793","5,236","5,527","5,699","5,312","5,563","5,378","5,358","5,358"
48 çLêÏí¨,"5,176","6,003","7,008","6,826","6,375","7,128","6,981","7,456","7,428"
49 çÅètí¨,"6,604","7,120","7,420","7,251","7,525","7,931","8,965","9,622","9,057"
50 ìYìcí¨,"6,047","5,968","6,124","6,012","5,949","5,598","5,673","6,180","5,642"
51 éÖìcí¨,"5,366","5,265","5,556","5,501","6,040","4,946","5,367","5,335","4,929"
52 êÏçËí¨,"5,783","5,738","5,550","5,482","5,502","5,397","5,368","5,340","5,246"
53 ëÂîCí¨,"6,629","6,793","7,042","6,743","6,747","7,194","6,911","8,192","6,851"
54 ê‘ë∫,"5,329","4,808","5,419","5,034","5,248","5,112","5,054","4,895","4,910"
55 ïüíqí¨,"6,198","5,915","5,934","6,195","6,596","6,887","6,092","6,789","6,399"
56 ä°ìcí¨,"18,719","14,588","12,564","9,401","9,032","11,775","12,583","12,337","10,897"
57 Ç›Ç‚Ç±í¨,"10,144","7,931","8,024","7,690","7,937","7,984","8,158","7,352","7,287"
58 ãgïxí¨,"8,235","9,091","8,671","7,278","8,840","8,802","7,559","8,792","8,511"
59 è„ñ—í¨,"9,987","11,845","7,913","8,266","10,979","8,659","9,503","9,891","8,757"
60 ízè„í¨,"7,248","7,145","8,472","7,258","7,505","7,955","7,782","7,724","7,528"
